20220509	15:42:32 	 5061d7bd-390b-4f66-8189-a8ac0bae40b8 	 GET 	 undefined 	/states/ks/funfact
20220509	15:53:22 	 47f19217-75b3-4f67-8f5e-89e54d36af8a 	 GET 	 undefined 	/states/ks
20220509	15:57:02 	 23972b5e-4c62-4edb-9c1e-b6fb98129945 	 GET 	 undefined 	/states/ks/
20220509	15:57:05 	 ffe56eea-527a-484f-9960-cbb2584e2712 	 GET 	 undefined 	/states/ks/funfact
20220509	15:57:15 	 ab797299-7aed-4561-bcf3-694bac88cefc 	 GET 	 undefined 	/states/ij/funfact
20220509	15:57:21 	 7c4bd6be-997a-40f5-8ead-e03d792c3d02 	 GET 	 undefined 	/states/ok/funfact
20220509	16:15:20 	 9b68f717-ef8c-4290-b05f-fcba5bc2f80d 	 GET 	 undefined 	/states/ok/capital
20220509	16:15:31 	 bca6f183-1ec6-4bb3-b067-94ac9921557b 	 GET 	 undefined 	/states/ok/capital
20220509	16:16:16 	 4c3e885f-9ecc-41b8-b81a-115303790e1f 	 GET 	 undefined 	/states/ok/capital
20220509	16:16:21 	 ab299461-554c-4a4c-b0bd-960fcf8c07ab 	 GET 	 undefined 	/states/ok/capital
20220509	16:16:24 	 fee0e8a6-d0e2-485a-9120-6bf3011d3a43 	 GET 	 undefined 	/states/ok/capital
20220509	16:16:29 	 c6f3aebe-58b3-4b16-b917-b8d81e8526ba 	 GET 	 undefined 	/states/ks/capital
20220509	16:17:19 	 a2e6ce5a-329f-411e-b579-e7ebcd39445b 	 GET 	 undefined 	/states/ks/capital
20220509	16:17:29 	 e6f71f00-ac74-4256-8265-9e3564a789b9 	 GET 	 undefined 	/states/ny/capital
20220509	16:17:41 	 114184cf-2f1c-44a8-8cb0-ade03029343f 	 GET 	 undefined 	/states/gd/capital
20220509	16:19:31 	 a27943d4-1792-4352-9a80-1236d23ef1b0 	 GET 	 undefined 	/states/gd/nickname
20220509	16:20:19 	 9497c3a8-507f-4d69-9676-ee8a0b296bb1 	 GET 	 undefined 	/states/gd/nickname
20220509	16:20:25 	 82ceaaa3-9495-49c5-817e-554509f1f985 	 GET 	 undefined 	/states/ks/nickname
20220509	16:20:27 	 31b8e098-b85c-4be0-88c6-97640b48a694 	 GET 	 undefined 	/states/ny/nickname
20220509	16:20:31 	 ce877261-6b33-4402-a183-a5e40a88f6f8 	 GET 	 undefined 	/states/ca/nickname
20220509	16:20:33 	 115c3c88-4805-4579-b657-c8682d670a6c 	 GET 	 undefined 	/states/or/nickname
20220509	16:20:36 	 372b7baa-1d0d-41f3-882d-5046abf1aa36 	 GET 	 undefined 	/states/ne/nickname
20220509	16:20:39 	 4dcf96f4-98d9-492f-9f61-5eb4232d1e1f 	 GET 	 undefined 	/states/nd/nickname
20220509	16:20:43 	 dd5197e8-a497-4938-bd89-fad1e2bba8aa 	 GET 	 undefined 	/states/fl/nickname
